date,team_a,team_b,bookmaker_odd_1,value_odd_1,bookmaker_odd_x,value_odd_x,bookmaker_odd_2,value_odd_2,ratio
19/04 03:20,america de cali,deportivo pasto,unibet,1.37,zebet,4.0,unibet,6.9,1.124854543531154
18/04 23:00,la equidad,fortaleza fc,unibet,2.1,unibet,2.98,unibet,3.12,1.1322737665019544
19/04 01:10,patriotas,independiente medellin,unibet,2.22,unibet,2.95,unibet,2.95,1.1284165521453655
20/04 03:10,atletico bucaramanga,boyaco chico fc,unibet,1.59,zebet,3.3,unibet,4.6,1.1493524249881921
21/04 17:30,fulham,liverpool,unibet,5.15,zebet,4.7,unibet,1.49,1.0780816543256773
20/04 20:30,wolverhampton,arsenal,zebet,7.5,zebet,4.9,unibet,1.35,1.0781557067271352
21/04 16:00,aston villa,bournemouth,unibet,1.72,zebet,4.1,unibet,3.92,1.0803998286779262
21/04 16:00,crystal palace,west ham,unibet,2.09,unibet,3.52,unibet,3.15,1.0800201260727578
20/04 16:00,luton town,brentford fc,unibet,3.05,unibet,3.7,unibet,2.08,1.0789083534985173
21/04 14:30,everton,nottingham forest,unibet,1.96,unibet,3.48,unibet,3.55,1.079250544316804
24/04 21:00,manchester united,sheffield united,unibet,1.26,zebet,5.8,zebet,8.0,1.091064586754242
25/04 21:00,brighton,manchester city,unibet,5.75,zebet,4.9,unibet,1.4,1.0922803904170364
20/04 16:00,sheffield united,burnley fc,unibet,2.7,unibet,3.58,zebet,2.32,1.0807344620675385
24/04 21:00,everton,liverpool,unibet,5.25,zebet,4.4,unibet,1.47,1.098021026592455
23/04 21:00,arsenal,chelsea,unibet,1.45,zebet,4.5,unibet,5.25,1.1023535851122057
24/04 21:00,crystal palace,newcastle,unibet,2.9,unibet,3.52,unibet,2.13,1.098402063372923
19/04 02:30,botafogo rj,atletico go,unibet,1.71,zebet,3.35,unibet,4.25,1.1185969019710529
20/04 15:00,rodez,auxerre,unibet,3.02,zebet,3.45,unibet,2.13,1.090464468353455
20/04 19:00,ac ajaccio,caen,zebet,2.5,unibet,2.8,unibet,2.98,1.0927133269415148
20/04 19:00,paris fc,valenciennes,unibet,1.35,zebet,4.3,unibet,8.0,1.0982988802756244
20/04 19:00,angers,troyes,unibet,1.61,unibet,3.62,unibet,4.95,1.0993813083652142
20/04 19:00,amiens,dunkerque,zebet,1.99,zebet,3.3,unibet,3.42,1.0979405266630868
20/04 19:00,annecy fc,grenoble foot,unibet,1.96,zebet,3.15,zebet,3.7,1.0979346693632408
20/04 19:00,guingamp,bastia,zebet,1.68,zebet,3.35,unibet,4.9,1.0978271905777235
21/04 16:30,coventry city,manchester united,unibet,5.4,unibet,4.6,unibet,1.46,1.0875079963823264
20/04 18:15,manchester city,chelsea,unibet,1.54,unibet,4.15,unibet,5.0,1.0903145047723362
15/06 21:00,italie,albanie,unibet,1.33,zebet,4.6,zebet,7.75,1.0983032616604627
17/06 21:00,autriche,france,unibet,6.4,zebet,4.4,unibet,1.39,1.1029471877043822
17/06 18:00,belgique,slovaquie,unibet,1.42,zebet,4.3,unibet,6.15,1.0993851176638199
